instance_id;x;y
ID;2180.83744;-110.88463
UN;-1218.03488;-110.88463
AN;-365.69213;1481.65068
ST;891.67551;-1339.64218
Impartial Culture_0;-1105.87038;-74.19042
Impartial Culture_1;-1124.76113;-52.71678
Impartial Culture_2;-1136.35816;-71.05256
Impartial Culture_3;-1099.48363;-86.88543
Impartial Culture_4;-1121.72269;-98.73877
Impartial Culture_5;-1127.09783;-39.1864
Impartial Culture_6;-1139.14663;-103.31851
Impartial Culture_7;-1105.22351;-56.57645
Impartial Culture_8;-1149.96786;-95.35965
Impartial Culture_9;-1152.65973;-80.40244
Impartial Culture_10;-1150.00685;-48.14169
Impartial Culture_11;-1134.45379;-87.24393
Impartial Culture_12;-1137.73941;-42.90397
Impartial Culture_13;-1118.38251;-84.35464
Impartial Culture_14;-1094.22686;-71.75843
Impartial Culture_15;-1155.21506;-68.27537
Impartial Culture_16;-1089.97857;-59.9032
Impartial Culture_17;-1107.85955;-99.358
Impartial Culture_18;-1145.81881;-59.38057
Impartial Culture_19;-1119.75023;-67.81012
SP by Conitzer_0;-270.39893;551.01896
SP by Conitzer_1;-136.70254;425.24866
SP by Conitzer_2;-213.30118;505.36441
SP by Conitzer_3;-204.12878;468.74559
SP by Conitzer_4;-210.48877;433.65255
SP by Conitzer_5;-229.09041;480.17768
SP by Conitzer_6;-174.52618;521.35598
SP by Conitzer_7;-106.01112;393.03735
SP by Conitzer_8;-253.78683;577.89301
SP by Conitzer_9;-237.99264;529.51386
SP by Conitzer_10;-178.18476;479.55327
SP by Conitzer_11;-120.51583;497.45916
SP by Conitzer_12;-149.55866;481.36139
SP by Conitzer_13;-250.04155;457.21898
SP by Conitzer_14;-153.7409;511.86951
SP by Conitzer_15;-200.29197;520.38679
SP by Conitzer_16;-121.09818;456.00885
SP by Conitzer_17;-64.15354;437.57328
SP by Conitzer_18;-175.66853;443.79801
SP by Conitzer_19;-203.26833;564.25495
SP by Walsh_0;1819.1057;-430.95551
SP by Walsh_1;1813.49671;-451.56272
SP by Walsh_2;1788.64357;-425.72625
SP by Walsh_3;1808.91963;-424.43706
SP by Walsh_4;1795.5663;-447.99947
SP by Walsh_5;1809.1263;-435.30548
SP by Walsh_6;1833.02408;-413.16298
SP by Walsh_7;1797.63613;-436.04632
SP by Walsh_8;1816.19391;-417.87195
SP by Walsh_9;1808.04156;-409.19557
SP by Walsh_10;1827.82481;-438.77117
SP by Walsh_11;1816.98456;-406.77681
SP by Walsh_12;1831.86638;-430.92224
SP by Walsh_13;1799.62041;-428.60782
SP by Walsh_14;1817.00481;-440.50325
SP by Walsh_15;1808.05128;-447.46116
