instance_id;x;y
Impartial Culture_0;-340.05424;-506.45596
Impartial Culture_1;-562.91549;-363.55924
Impartial Culture_2;-404.59063;-500.48158
Impartial Culture_3;-442.81896;-378.46024
Impartial Culture_4;-534.85711;-421.95328
Impartial Culture_5;-322.49817;-541.66661
Impartial Culture_6;-386.25334;-414.21384
Impartial Culture_7;-573.00877;-265.36244
Impartial Culture_8;-436.75252;-425.48642
Impartial Culture_9;-491.6311;-404.36814
Impartial Culture_10;-519.41224;-312.07869
Impartial Culture_11;-380.39107;-510.35227
Impartial Culture_12;-497.80467;-446.7716
Impartial Culture_13;-500.87839;-358.2498
Impartial Culture_14;-418.09673;-465.63817
Impartial Culture_15;-459.29183;-455.99893
SP by Conitzer_0;11.42928;329.7096
SP by Conitzer_1;12.70282;296.12178
SP by Conitzer_2;127.56808;294.92472
SP by Conitzer_3;84.20192;328.26723
SP by Conitzer_4;-27.676;350.78559
SP by Conitzer_5;15.71876;384.4494
SP by Conitzer_6;35.64368;278.93103
SP by Conitzer_7;113.98397;365.45154
SP by Conitzer_8;-14.75564;309.11883
SP by Conitzer_9;53.92168;302.15764
SP by Conitzer_10;72.89211;278.20733
SP by Conitzer_11;52.30977;327.73392
SP by Conitzer_12;24.80156;252.91392
SP by Conitzer_13;100.82846;246.21096
SP by Conitzer_14;30.43958;355.70174
SP by Conitzer_15;-11.74091;391.03627
SP by Walsh_0;412.90025;-125.44568
SP by Walsh_1;383.54257;-78.74852
SP by Walsh_2;342.09138;-91.97872
SP by Walsh_3;386.93043;-26.42714
SP by Walsh_4;448.56459;-59.00612
SP by Walsh_5;362.09424;-123.96035
SP by Walsh_6;362.75163;-14.22582
SP by Walsh_7;465.60095;-101.0229
SP by Walsh_8;327.64098;-61.27878
SP by Walsh_9;353.67753;-47.93815
SP by Walsh_10;413.19948;-63.7682
SP by Walsh_11;436.02932;-20.75623
SP by Walsh_12;429.12717;-88.6765
SP by Walsh_13;309.70848;-6.85869
SP by Walsh_14;408.22396;-5.7061
SP by Walsh_15;382.75892;-110.85989
SPOC_0;-366.33339;211.6909
SPOC_1;-449.07379;246.21309
SPOC_2;-363.16489;264.47939
SPOC_3;-426.33665;207.21539
SPOC_4;-417.35124;259.08423
SPOC_5;-364.20431;137.25754
SPOC_6;-416.52851;167.66911
SPOC_7;-293.05091;241.78524
SPOC_8;-261.43163;133.34485
SPOC_9;-260.6697;172.26174
SPOC_10;-318.00865;134.69347
SPOC_11;-335.15648;226.75831
SPOC_12;-296.83515;191.28954
SPOC_13;-486.17141;260.30822
SPOC_14;-482.66477;218.19081
SPOC_15;-334.55384;164.43619
Single-Crossing_0;396.87755;150.27733
Single-Crossing_1;275.73913;106.26281
Single-Crossing_2;373.5311;226.1342
Single-Crossing_3;392.04744;106.73106
Single-Crossing_4;315.41196;235.34448
Single-Crossing_5;327.54446;199.01438
Single-Crossing_6;223.27778;169.70186
Single-Crossing_7;339.07704;155.67394
Single-Crossing_8;292.13494;177.5575
Single-Crossing_9;296.38325;141.27214
Single-Crossing_10;232.4119;115.3866
Single-Crossing_11;392.92903;194.14661
Single-Crossing_12;215.64896;232.44896
Single-Crossing_13;327.29947;75.09268
Single-Crossing_14;375.27081;138.1218
Single-Crossing_15;254.5679;66.57908
GS Balanced_0;-373.25464;507.27212
GS Balanced_1;-303.15582;414.77219
GS Balanced_2;-375.34558;477.54916
GS Balanced_3;-210.32815;479.37896
GS Balanced_4;-289.75852;472.59772
GS Balanced_5;-312.88586;512.76506
GS Balanced_6;-356.54189;438.05753
GS Balanced_7;-260.24613;498.18652
GS Balanced_8;-317.90923;452.74544
GS Balanced_9;-239.63469;433.57012
GS Balanced_10;-430.99574;481.17033
GS Balanced_11;-462.75491;408.18312
GS Balanced_12;-337.96429;493.30274
GS Balanced_13;-469.16682;446.84924
GS Balanced_14;-374.5071;394.50396
GS Balanced_15;-404.68707;444.18328
GS Caterpillar_0;-666.52151;30.28255
GS Caterpillar_1;-642.71128;61.60456
GS Caterpillar_2;-541.89892;-19.69702
GS Caterpillar_3;-609.41254;78.54531
GS Caterpillar_4;-586.71797;30.9001
GS Caterpillar_5;-526.07773;-98.30637
GS Caterpillar_6;-581.59126;-151.79799
GS Caterpillar_7;-617.30411;-15.0761
GS Caterpillar_8;-613.8293;-179.34353
GS Caterpillar_9;-653.0153;-113.36015
GS Caterpillar_10;-684.76423;1.90435
GS Caterpillar_11;-650.8921;-145.57318
GS Caterpillar_12;-578.24136;-99.00961
GS Caterpillar_13;-662.45541;-75.05171
GS Caterpillar_14;-587.51809;-45.73757
GS Caterpillar_15;-670.37844;-44.37072
Interval_0;150.11464;323.29557
Interval_1;178.62336;409.71691
Interval_2;269.3685;247.67244
Interval_3;189.10173;332.75424
Interval_4;172.99549;246.88457
Interval_5;78.94341;473.46651
Interval_6;377.44465;311.32591
Interval_7;81.88769;394.21248
Interval_8;309.02105;307.69336
Interval_9;3.11613;547.4378
Interval_10;62.69517;414.61593
Interval_11;135.35483;510.44475
Interval_12;19.52963;488.65627
Interval_13;226.95618;416.50376
Interval_14;145.76147;414.326
Interval_15;193.16718;442.01036
Square_0;-109.86764;82.16916
Square_1;-4.97262;45.86195
Square_2;-158.01519;201.78355
Square_3;17.5671;158.03582
Square_4;14.8863;90.03311
Square_5;-75.46505;84.53564
Square_6;-23.48983;129.69276
Square_7;65.50931;57.39215
Square_8;-69.46294;229.10003
Square_9;-107.78939;146.71971
Square_10;143.38706;79.44762
Square_11;-60.82731;162.58357
