instance_id;x;y
nauty-12_0;-6.40322;4.2443
nauty-12_1;-0.72392;6.31357
nauty-12_2;-6.74039;0.97609
nauty-12_3;-7.09776;6.5836
nauty-12_4;-2.69045;8.34286
nauty-12_5;-1.81718;8.73113
nauty-12_6;-1.14474;5.40588
nauty-12_7;-0.46652;6.97936
nauty-12_8;-8.2328;1.89614
nauty-12_9;-1.61938;4.72181
nauty-12_10;-4.54831;6.54053
nauty-12_11;0.22744;3.539
nauty-12_12;-0.47786;0.65715
nauty-12_13;-0.91566;0.3259
nauty-12_14;-3.3965;2.24175
nauty-12_15;-2.62391;7.49905
nauty-12_16;-6.23841;2.42814
nauty-12_17;-5.82449;3.9858
nauty-12_18;-3.44013;0.35008
nauty-12_19;-4.3985;5.24707
nauty-12_20;-1.5886;5.25462
nauty-12_21;-7.49781;3.13734
nauty-12_22;-6.77454;0.4748
nauty-12_23;-8.21925;5.97084
nauty-12_24;-3.64237;9.28801
nauty-12_25;-6.42821;3.19604
nauty-12_26;-3.05294;7.96499
nauty-12_27;-8.27924;2.59582
nauty-12_28;-9.25717;1.63043
nauty-12_29;-3.48724;-1.54688
nauty-12_30;-6.03127;9.42152
nauty-12_31;0.34902;1.46017
nauty-12_32;-0.50125;-0.88722
nauty-12_33;-5.69402;7.38819
nauty-12_34;-2.66781;2.93901
nauty-12_35;-1.36296;8.44301
nauty-12_36;-3.47134;7.11937
nauty-12_37;-4.53035;9.2383
nauty-12_38;-0.08142;1.00078
nauty-12_39;-3.54102;3.6199
nauty-12_40;-0.72566;3.14891
nauty-12_41;-1.65468;2.92408
nauty-12_42;-4.16932;5.82195
nauty-12_43;-8.59945;0.80151
nauty-12_44;-0.21415;3.09891
nauty-12_45;-0.77336;8.39214
nauty-12_46;0.98732;4.18962
nauty-12_47;-7.78722;-0.28882
nauty-12_48;-5.07899;8.43847
nauty-12_49;-4.43029;3.01251
nauty-12_50;-5.15451;1.75741
nauty-12_51;-8.10107;3.94253
nauty-12_52;0.81412;5.68537
nauty-12_53;-2.49104;-0.79239
nauty-12_54;-4.92894;-0.28739
nauty-12_55;-6.03501;5.55109
nauty-12_56;-1.19715;3.90114
nauty-12_57;0.30582;-7.79284
nauty-12_58;-4.94357;4.36032
nauty-12_59;-3.72112;3.07192
nauty-12_60;-2.16169;0.69419
nauty-12_61;-5.90371;6.40567
nauty-12_62;-3.98378;7.29581
nauty-12_63;-0.74386;7.31382
nauty-12_64;-6.74627;2.08056
nauty-12_65;-1.92765;7.79373
nauty-12_66;-4.01132;-0.57805
nauty-12_67;-5.84793;8.48221
nauty-12_68;-1.79378;-1.52266
nauty-12_69;-3.60678;5.03686
nauty-12_70;-2.22861;-0.2836
nauty-12_71;0.31616;7.28703
nauty-12_72;-7.41357;1.39148
nauty-12_73;-3.15219;-2.49633
nauty-12_74;-4.86728;0.71757
nauty-12_75;-5.92617;1.43071
nauty-12_76;0.27231;4.83657
nauty-12_77;-8.31598;0.39996
nauty-12_78;-4.03586;1.14876
nauty-12_79;-9.17817;3.01264
nauty-12_80;-5.27355;0.61866
nauty-12_81;-7.78163;6.8397
nauty-12_82;-2.74236;1.54189
nauty-12_83;-2.10926;2.37667
nauty-12_84;-2.53466;6.06473
nauty-12_85;-6.54032;5.35819
nauty-12_86;-7.03726;4.60754
nauty-12_87;0.38701;3.79027
nauty-12_88;0.03141;5.16974
nauty-12_89;-6.89065;7.48434
nauty-12_90;-8.23666;3.08255
nauty-12_91;-4.85176;-1.24742
nauty-12_92;-3.42972;9.56253
nauty-12_93;-7.57875;4.04704
nauty-12_94;-6.2563;7.31071
nauty-12_95;-4.23473;8.28592
nauty-12_96;-4.96715;5.08434
nauty-12_97;1.06573;0.92378
nauty-12_98;-8.45919;4.43219
nauty-12_99;-2.57107;4.17554
condorcet_noise_1_0;0.77215;-8.05765
condorcet_noise_1_1;4.43478;-4.18874
condorcet_noise_1_2;1.87021;-5.00483
condorcet_noise_1_3;0.61384;-6.21107
condorcet_noise_1_4;2.24819;-7.21389
condorcet_noise_7_0;-2.76244;-3.78482
condorcet_noise_7_1;2.04214;-0.8712
condorcet_noise_7_2;-1.44886;-3.77101
condorcet_noise_7_3;4.30873;-2.35793
condorcet_noise_7_4;2.69187;0.34053
condorcet_noise_5_0;4.9818;2.98294
condorcet_noise_5_1;-6.66083;-3.41725
condorcet_noise_5_2;-0.62032;-6.77491
condorcet_noise_5_3;-3.76875;-3.4969
condorcet_noise_5_4;3.44835;4.08729
condorcet_noise_3_0;3.66633;6.14828
condorcet_noise_3_1;5.26312;4.77932
condorcet_noise_3_2;3.94751;7.5279
condorcet_noise_3_3;-7.09356;-3.01464
condorcet_noise_3_4;1.76052;7.90598
exp_0;6.03504;-7.34215
exp_1;4.66956;-7.72076
exp_2;3.90039;-7.11545
exp_3;5.15147;-7.56625
exp_4;5.60655;-7.55531
exp_5;2.89152;-7.62109
exp_6;5.48575;-6.71741
exp_7;5.76871;-6.37206
exp_8;5.88376;-7.53401
exp_9;4.16183;-7.49122
pow2_0;4.58187;-5.61251
pow2_1;4.11946;-7.07291
pow2_2;6.05131;-5.0098
pow2_3;5.02293;-6.98003
pow2_4;3.42617;-7.88229
pow2_5;4.64882;-6.84259
pow2_6;4.51588;-7.03694
pow2_7;3.45542;-7.30845
pow2_8;4.97085;-7.78599
pow2_9;2.96273;-5.50648
lin_0;6.64829;-1.09229
lin_1;6.57866;0.2701
lin_2;5.9481;-0.80074
lin_3;5.29624;-1.45671
lin_4;-0.51037;-4.48229
lin_5;6.82644;-0.78964
lin_6;7.01334;-3.45015
lin_7;5.96978;0.04346
lin_8;6.19974;0.60984
lin_9;6.45823;2.27155
log_0;-2.80623;-5.85949
log_1;6.51295;4.63018
log_2;6.0643;2.94178
log_3;2.4555;2.70916
log_4;5.36211;4.20996
log_5;-1.6558;-6.7214
log_6;6.21096;3.38795
log_7;7.07548;-0.20135
log_8;5.69448;3.79042
log_9;5.4003;2.16277
sqrt_0;4.50546;4.30141
sqrt_1;3.00515;6.51809
sqrt_2;-7.13698;-2.49709
sqrt_3;-5.44812;-4.45699
sqrt_4;5.85086;4.77191
sqrt_5;6.84381;1.79841
sqrt_6;-5.94686;-2.53557
sqrt_7;4.62081;5.99686
sqrt_8;-3.3429;-7.32596
sqrt_9;6.77573;3.49254
rand_pow_0;1.67574;-5.9268
rand_pow_1;2.10306;-7.36287
rand_pow_2;7.28118;1.69314
rand_pow_3;5.4064;-5.85673
rand_pow_4;2.04271;-4.45491
rand_pow_5;2.70362;-8.55164
rand_pow_6;3.9418;-8.36005
rand_pow_7;3.53159;-1.47463
rand_pow_8;4.00111;-8.11317
rand_pow_9;-2.93625;-6.52986
uniform_0;-9.02177;0.10805
