instance_id;x;y
nauty-12_0;-0.03353;0.2141
nauty-12_1;-0.05732;0.14617
nauty-12_2;-0.10213;0.1875
nauty-12_3;-0.08211;0.28006
nauty-12_4;-0.02825;0.22847
nauty-12_5;-0.04713;0.28618
nauty-12_6;-0.0601;0.10365
nauty-12_7;-0.00079;0.17367
nauty-12_8;-0.17149;0.2004
nauty-12_9;0.01096;0.13321
nauty-12_10;-0.10156;0.21987
nauty-12_11;0.14204;0.10858
nauty-12_12;0.04174;0.01344
nauty-12_13;0.0038;-0.06564
nauty-12_14;-0.00334;0.09975
nauty-12_15;-0.05734;0.25997
nauty-12_16;-0.11004;0.16548
nauty-12_17;-0.04594;0.18353
nauty-12_18;-0.01576;0.0585
nauty-12_19;0.02668;0.21074
nauty-12_20;0.04032;0.16695
nauty-12_21;-0.07215;0.21047
nauty-12_22;-0.06166;0.21896
nauty-12_23;-0.11571;0.31161
nauty-12_24;-0.03548;0.33452
nauty-12_25;-0.06285;0.17224
nauty-12_26;-0.01437;0.23854
nauty-12_27;-0.14569;0.22164
nauty-12_28;-0.18554;0.23752
nauty-12_29;-0.0299;0.01065
nauty-12_30;-0.05223;0.40196
nauty-12_31;0.05874;-0.02022
nauty-12_32;0.01928;-0.06717
nauty-12_33;-0.04438;0.29509
nauty-12_34;0.02866;0.08565
nauty-12_35;0.03556;0.31288
nauty-12_36;-0.0794;0.21665
nauty-12_37;-0.02612;0.35651
nauty-12_38;0.01526;0.00787
nauty-12_39;0.03388;0.13056
nauty-12_40;-0.0462;0.06686
nauty-12_41;-0.01948;0.09091
nauty-12_42;-0.03899;0.20757
nauty-12_43;-0.15864;0.20599
nauty-12_44;0.05816;0.07037
nauty-12_45;-0.05164;0.20831
nauty-12_46;0.07663;0.08311
nauty-12_47;-0.20191;0.15222
nauty-12_48;-0.11501;0.26934
nauty-12_49;0.02515;0.15594
nauty-12_50;-0.07185;0.10869
nauty-12_51;-0.17191;0.22737
nauty-12_52;0.01879;0.09525
nauty-12_53;-0.01878;0.00518
nauty-12_54;-0.06143;0.06266
nauty-12_55;-0.13909;0.19649
nauty-12_56;-0.05747;0.09544
nauty-12_57;-0.07292;-0.18352
nauty-12_58;-0.09832;0.16998
nauty-12_59;0.02106;0.11712
nauty-12_60;0.02069;0.01422
nauty-12_61;-0.03142;0.29254
nauty-12_62;-0.08827;0.23823
nauty-12_63;0.00493;0.18525
nauty-12_64;-0.12266;0.12822
nauty-12_65;0.02661;0.26147
nauty-12_66;-0.08506;0.03414
nauty-12_67;-0.0184;0.35175
nauty-12_68;-0.05106;-0.03186
nauty-12_69;0.00302;0.15507
nauty-12_70;-0.14515;-0.00501
nauty-12_71;-0.08761;0.15797
nauty-12_72;-0.13989;0.16528
nauty-12_73;-0.08793;-0.0419
nauty-12_74;-0.08101;0.10316
nauty-12_75;-0.03168;0.1574
nauty-12_76;0.0131;0.08994
nauty-12_77;-0.20194;0.20379
nauty-12_78;-0.00303;0.10739
nauty-12_79;-0.15794;0.24654
nauty-12_80;-0.11399;0.09842
nauty-12_81;-0.0757;0.31674
nauty-12_82;0.02722;0.05884
nauty-12_83;0.07722;0.07194
nauty-12_84;-0.07589;0.16947
nauty-12_85;-0.04133;0.22773
nauty-12_86;0.07182;0.27653
nauty-12_87;0.17034;0.10151
nauty-12_88;0.06985;0.14146
nauty-12_89;-0.1134;0.3122
nauty-12_90;-0.10423;0.23219
nauty-12_91;-0.09377;0.04547
nauty-12_92;-0.10583;0.27173
nauty-12_93;-0.09784;0.2227
nauty-12_94;-0.0682;0.31896
nauty-12_95;-0.05229;0.2884
nauty-12_96;-0.01892;0.17235
nauty-12_97;0.01756;-0.0517
nauty-12_98;-0.10068;0.26167
nauty-12_99;-0.11375;0.0782
condorcet_noise_1_0;-0.00817;-0.24652
condorcet_noise_1_1;-0.06275;-0.25853
condorcet_noise_1_2;-0.05897;-0.20698
condorcet_noise_1_3;0.00986;-0.15486
condorcet_noise_1_4;-0.12807;-0.08973
condorcet_noise_7_0;0.03222;-0.00488
condorcet_noise_7_1;-0.03774;-0.01438
condorcet_noise_7_2;-0.08821;0.07929
condorcet_noise_7_3;0.05246;0.10068
condorcet_noise_7_4;-0.06593;-0.11557
condorcet_noise_5_0;-0.03167;0.02096
condorcet_noise_5_1;0.00514;0.01073
condorcet_noise_5_2;-0.09085;0.20866
condorcet_noise_5_3;0.07375;0.10234
condorcet_noise_5_4;0.1094;0.05301
condorcet_noise_3_0;0.10553;0.12103
condorcet_noise_3_1;0.01634;0.24452
condorcet_noise_3_2;-0.04341;0.17004
condorcet_noise_3_3;0.08812;0.11874
condorcet_noise_3_4;-0.08594;0.09152
exp_0;0.02005;-0.38028
exp_1;0.05138;-0.34172
exp_2;0.05852;-0.35044
exp_3;0.09152;-0.36618
exp_4;0.10717;-0.34645
exp_5;-0.04301;-0.36362
exp_6;0.06516;-0.30353
exp_7;0.07781;-0.34715
exp_8;0.00991;-0.34568
exp_9;0.06893;-0.28218
pow2_0;-0.02995;-0.30071
pow2_1;-0.03274;-0.36938
pow2_2;-0.01641;-0.23471
pow2_3;0.01382;-0.31858
pow2_4;-0.0147;-0.36178
pow2_5;0.04866;-0.34585
pow2_6;-0.0573;-0.34217
pow2_7;0.04554;-0.30114
pow2_8;0.03132;-0.38557
pow2_9;-0.03836;-0.32878
lin_0;0.15302;-0.18609
lin_1;0.09595;-0.08539
lin_2;0.17638;-0.18371
lin_3;0.09527;-0.15865
lin_4;0.05557;-0.12555
lin_5;0.2105;-0.08711
lin_6;0.17467;-0.16485
lin_7;0.21171;-0.17595
lin_8;0.21527;-0.10091
lin_9;0.17132;-0.01595
log_0;0.21372;-0.12465
log_1;0.13377;0.15847
log_2;0.16184;0.06227
log_3;0.14138;0.00578
log_4;0.1533;0.07946
log_5;0.13408;-0.03496
log_6;0.20851;0.09776
log_7;0.25063;-0.1281
log_8;0.19523;0.11667
log_9;0.15528;0.04762
sqrt_0;-0.07159;0.05507
sqrt_1;0.12601;0.08701
sqrt_2;-0.07009;0.13753
sqrt_3;-0.09687;0.06107
sqrt_4;-0.13642;0.04692
sqrt_5;0.04283;0.05144
sqrt_6;0.09065;0.04733
sqrt_7;0.01263;0.16047
sqrt_8;-0.10798;0.08702
sqrt_9;0.07847;0.12139
rand_pow_0;-0.15914;-0.2785
rand_pow_1;-0.12229;-0.2912
rand_pow_2;0.13241;-0.11231
rand_pow_3;0.11405;-0.28054
rand_pow_4;-0.05914;-0.18074
rand_pow_5;-0.11805;-0.33413
rand_pow_6;0.03373;-0.35854
rand_pow_7;0.10208;-0.09087
rand_pow_8;-0.10181;-0.33952
rand_pow_9;0.02566;-0.16308
uniform_0;0.03578;0.17097
uniform_1;-0.14556;0.15244
uniform_2;0.10009;0.22743
uniform_3;0.16303;0.15288
uniform_4;0.06598;0.21634
uniform_5;-0.11547;0.19093
uniform_6;-0.04761;0.12784
uniform_7;-0.03039;0.04372
uniform_8;-0.02776;0.2564
uniform_9;-0.005;0.20112
uniform_10;0.05543;0.15257
uniform_11;0.05671;0.19409
uniform_12;-0.0883;0.15252
uniform_13;-0.01173;0.14138
uniform_14;0.17292;0.1648
uniform_15;0.15249;0.10885
uniform_16;-0.12815;0.17881
uniform_17;-0.00826;0.26011
uniform_18;0.02901;0.22009
uniform_19;-0.076;0.17904
mov_paper_condorcet_tournament_0;0.12526;-0.0486
mov_paper_condorcet_tournament_1;-0.16342;-0.05649
mov_paper_condorcet_tournament_2;0.04581;-0.05714
mov_paper_condorcet_tournament_3;0.03645;0.08748
mov_paper_condorcet_tournament_4;-0.12162;-0.04694
mov_paper_condorcet_tournament_5;0.11022;0.0126
mov_paper_condorcet_tournament_6;0.07671;-0.06753
mov_paper_condorcet_tournament_7;-0.16584;0.15101
mov_paper_condorcet_tournament_8;0.19654;0.01395
mov_paper_condorcet_tournament_9;0.14575;-0.25349
mov_paper_condorcet_direct_0;-0.06294;-0.0774
mov_paper_condorcet_direct_1;0.07427;0.14482
mov_paper_condorcet_direct_2;-0.05909;-0.0359
mov_paper_condorcet_direct_3;-0.18473;-0.02012
mov_paper_condorcet_direct_4;-0.12837;-0.15127
mov_paper_condorcet_direct_5;0.12443;-0.10443
mov_paper_condorcet_direct_6;-0.09957;-0.00864
mov_paper_condorcet_direct_7;0.05698;-0.00143
mov_paper_condorcet_direct_8;-0.12319;0.00259
mov_paper_condorcet_direct_9;-0.12349;-0.05938
mov_paper_impartial_culture_0;-0.03763;-0.17684
mov_paper_impartial_culture_1;-0.10569;-0.2968
mov_paper_impartial_culture_2;0.15524;-0.24284
mov_paper_impartial_culture_3;-0.14512;-0.23977
mov_paper_impartial_culture_4;0.16972;-0.23707
mov_paper_impartial_culture_5;0.04153;-0.2376
mov_paper_impartial_culture_6;0.17726;-0.15477
mov_paper_impartial_culture_7;-0.1081;-0.15185
mov_paper_impartial_culture_8;0.17968;-0.28777
mov_paper_impartial_culture_9;0.10203;-0.17195
mov_paper_mallows_0;0.10409;-0.14005
mov_paper_mallows_1;0.06704;-0.24009
mov_paper_mallows_2;0.17389;-0.08981
mov_paper_mallows_3;0.01471;-0.29575
mov_paper_mallows_4;0.09145;-0.33903
mov_paper_mallows_5;0.14449;-0.32534
mov_paper_mallows_6;-0.15861;-0.18738
mov_paper_mallows_7;-0.11039;-0.37661
mov_paper_mallows_8;0.13136;-0.23996
mov_paper_mallows_9;0.09919;-0.32075
mov_paper_urn_0;0.12314;-0.18614
mov_paper_urn_1;0.11053;-0.30761
mov_paper_urn_2;-0.13444;-0.16717
mov_paper_urn_3;0.10982;-0.32985
mov_paper_urn_4;-0.08378;-0.24222
mov_paper_urn_5;0.1335;-0.33858
mov_paper_urn_6;0.08476;-0.26077
mov_paper_urn_7;-0.00295;-0.36597
mov_paper_urn_8;0.0849;-0.14211
mov_paper_urn_9;-0.09449;-0.30812
ordered_0;0.07091;-0.34893
rps_0;-0.06651;0.45986
o2rps_0;-0.17277;0.53472
o2rps_1;-0.37662;0.16351
o2rps_2;-0.49961;0.05435
o2rps_3;-0.37072;-0.15159
o2rps_4;-0.39432;-0.25605
o2rps_5;-0.1975;-0.36279
o2rps_6;-0.16764;-0.40469
o2rps_7;0.00323;-0.38614
o2rps_8;-0.01409;-0.38084
rps2o_0;0.31619;0.3974
rps2o_1;0.34632;0.10921
rps2o_2;0.42539;-0.01743
rps2o_3;0.30407;-0.18746
rps2o_4;0.29864;-0.23906
rps2o_5;0.1766;-0.30726
rps2o_6;0.17099;-0.32161
rps2o_7;0.08587;-0.34334
rps2o_8;0.08181;-0.34766
