instance_id;x;y
nauty-8_0;-3.15281;-1.84757
nauty-8_1;0.20468;-2.24108
nauty-8_2;0.92174;0.51449
nauty-8_3;2.75439;-0.87594
nauty-8_4;2.58152;-1.09778
nauty-8_5;1.15396;0.81998
nauty-8_6;2.58847;0.5489
nauty-8_7;0.28262;1.81508
nauty-8_8;1.91108;-1.40701
nauty-8_9;0.60936;2.21215
nauty-8_10;1.68475;1.27015
nauty-8_11;2.26169;1.75737
nauty-8_12;-0.76962;-3.6103
nauty-8_13;0.87087;-3.03566
nauty-8_14;1.40078;-2.81201
nauty-8_15;0.37903;0.64623
nauty-8_16;0.49727;0.34062
nauty-8_17;-0.45747;-2.44774
nauty-8_18;-0.69996;-0.55946
nauty-8_19;-2.05916;-1.77274
nauty-8_20;0.11997;-1.84017
nauty-8_21;-1.43161;-2.91109
nauty-8_22;3.63612;-0.69598
nauty-8_23;1.88137;-1.25079
nauty-8_24;-1.58042;3.04071
nauty-8_25;2.24395;-2.58186
nauty-8_26;1.49885;-1.08245
nauty-8_27;-1.81967;-3.65824
nauty-8_28;-0.74138;-2.52389
nauty-8_29;2.22047;1.51481
nauty-8_30;1.24295;-0.08546
nauty-8_31;0.07247;1.76066
nauty-8_32;1.60997;1.51323
nauty-8_33;1.34467;0.02894
nauty-8_34;1.13872;-0.84829
nauty-8_35;-2.6015;-0.19284
nauty-8_36;-1.07208;0.46951
nauty-8_37;-2.49936;-0.13918
nauty-8_38;0.81996;0.92565
nauty-8_39;3.86847;-1.30052
nauty-8_40;-3.12533;-0.02478
nauty-8_41;0.47491;-3.24239
nauty-8_42;1.98953;-1.90386
nauty-8_43;0.10857;-2.3151
nauty-8_44;-0.34086;0.2831
nauty-8_45;0.61362;-0.75179
nauty-8_46;3.44718;-0.89967
nauty-8_47;-0.42511;-0.29894
nauty-8_48;-1.21691;-0.58735
nauty-8_49;2.12698;-2.35634
nauty-8_50;2.8507;0.72446
nauty-8_51;2.73597;-0.36941
nauty-8_52;0.2202;-2.59714
nauty-8_53;-0.97811;-2.92268
nauty-8_54;-0.86137;0.31269
nauty-8_55;-2.06863;-1.35604
nauty-8_56;-0.2989;2.12579
nauty-8_57;3.90185;3.55511
nauty-8_58;0.65596;2.63639
nauty-8_59;-0.10985;-1.24882
nauty-8_60;0.03943;0.76388
nauty-8_61;3.66915;-0.92439
nauty-8_62;-1.4176;-1.3167
nauty-8_63;-1.29384;2.49408
nauty-8_64;3.0053;-1.39107
nauty-8_65;2.57225;0.83718
nauty-8_66;1.53074;0.74909
nauty-8_67;-0.1009;0.38128
nauty-8_68;0.40281;-1.7225
nauty-8_69;-0.20838;-0.88833
nauty-8_70;-1.37632;-1.31547
nauty-8_71;0.04991;-3.19947
nauty-8_72;-1.35337;0.13934
nauty-8_73;2.05527;0.35391
nauty-8_74;2.91541;1.45799
nauty-8_75;3.35285;-2.07655
nauty-8_76;0.18505;-1.64882
nauty-8_77;-0.3108;-2.10022
nauty-8_78;1.73483;-2.40475
nauty-8_79;3.41986;-0.27306
nauty-8_80;3.30399;0.41444
nauty-8_81;-1.32105;0.2715
nauty-8_82;3.24287;-0.78197
nauty-8_83;2.23931;0.87586
nauty-8_84;1.80159;2.31816
nauty-8_85;0.65111;-3.09195
nauty-8_86;3.05416;-1.5915
nauty-8_87;1.21479;0.76945
nauty-8_88;-0.06153;0.66588
nauty-8_89;0.95877;-0.38826
nauty-8_90;0.71713;2.03699
nauty-8_91;2.49962;1.33393
nauty-8_92;2.43285;-1.63377
nauty-8_93;-1.34946;-2.46772
nauty-8_94;-0.68564;-3.20818
nauty-8_95;-0.89685;-1.36444
nauty-8_96;-0.59963;-1.8107
nauty-8_97;2.5617;0.22282
nauty-8_98;0.88576;-0.97605
nauty-8_99;0.13499;-3.22731
nauty-8_100;3.0153;2.11189
nauty-8_101;-1.06701;-1.93722
nauty-8_102;1.51247;-2.97792
nauty-8_103;-0.84023;-2.1542
nauty-8_104;-0.11911;0.12894
nauty-8_105;0.95701;-3.03393
nauty-8_106;1.79213;1.9476
nauty-8_107;-1.68787;-1.86883
nauty-8_108;-0.1484;-1.59623
nauty-8_109;1.37753;-2.35538
nauty-8_110;3.33926;1.12743
nauty-8_111;2.55315;-3.11764
nauty-8_112;-0.37511;2.43402
nauty-8_113;2.17823;-0.74273
nauty-8_114;0.50613;3.07594
nauty-8_115;3.59735;0.33544
nauty-8_116;2.69417;1.29836
nauty-8_117;3.34157;-2.86733
nauty-8_118;1.33974;1.78819
nauty-8_119;0.45163;-3.26372
nauty-8_120;0.44912;2.38637
nauty-8_121;-1.14742;-2.00441
nauty-8_122;3.669;-1.10367
nauty-8_123;1.99069;-2.92062
nauty-8_124;2.42029;-0.28428
nauty-8_125;2.96148;1.20732
nauty-8_126;0.53683;-0.96568
nauty-8_127;0.2829;-2.55726
nauty-8_128;3.25291;-1.76406
nauty-8_129;-0.99322;-0.43046
nauty-8_130;-1.45905;-1.12946
nauty-8_131;1.36012;0.50507
nauty-8_132;-1.66056;-0.89097
nauty-8_133;1.99867;-2.19233
nauty-8_134;3.09591;-2.49184
nauty-8_135;0.59277;2.12503
nauty-8_136;3.44562;-0.70617
nauty-8_137;-1.19934;0.9346
nauty-8_138;0.0631;2.18111
nauty-8_139;0.58722;2.5989
nauty-8_140;1.36028;-0.45173
nauty-8_141;2.12626;-1.09038
nauty-8_142;4.09316;-0.33271
nauty-8_143;-1.68417;-1.00138
nauty-8_144;-0.5333;-0.25087
nauty-8_145;0.50296;-2.9007
nauty-8_146;3.08122;-0.51323
nauty-8_147;-0.62612;1.99477
nauty-8_148;3.20126;0.79649
nauty-8_149;-0.21888;2.75678
nauty-8_150;-1.12277;-1.47757
nauty-8_151;2.51105;-1.52706
nauty-8_152;0.42973;-2.70769
nauty-8_153;0.22982;1.93544
nauty-8_154;2.90738;-2.94435
nauty-8_155;2.42381;-0.55928
nauty-8_156;1.13167;1.79761
nauty-8_157;-1.19396;0.41252
nauty-8_158;3.97932;-0.75598
nauty-8_159;2.86558;-1.96715
nauty-8_160;1.86949;1.33065
nauty-8_161;2.37711;1.57189
nauty-8_162;1.04649;2.933
nauty-8_163;0.95465;-1.57661
nauty-8_164;0.70826;-1.77188
nauty-8_165;-1.36043;-2.75713
nauty-8_166;2.45575;0.20094
nauty-8_167;1.63938;-3.17284
nauty-8_168;1.6968;-0.6754
nauty-8_169;1.85431;1.80076
nauty-8_170;2.9296;-1.47441
