instance_id;x;y
nauty-8_0;-0.14763;-0.04566
nauty-8_1;0.08402;0.03276
nauty-8_2;-0.01606;0.06246
nauty-8_3;0.04232;0.13001
nauty-8_4;0.04197;0.13058
nauty-8_5;-0.02436;0.06177
nauty-8_6;0.02244;0.08843
nauty-8_7;-0.08462;0.06193
nauty-8_8;0.04495;0.05541
nauty-8_9;-0.11042;0.07742
nauty-8_10;-0.02847;0.09063
nauty-8_11;-0.03481;0.10555
nauty-8_12;0.13588;0.02869
nauty-8_13;0.13647;0.03643
nauty-8_14;0.1062;0.07042
nauty-8_15;-0.02244;0.03343
nauty-8_16;0.00417;0.00984
nauty-8_17;-0.05336;0.05946
nauty-8_18;-0.00044;0.00098
nauty-8_19;0.07734;-0.08822
nauty-8_20;0.0577;0.04857
nauty-8_21;0.13524;-0.03832
nauty-8_22;0.08893;0.11019
nauty-8_23;0.04544;0.11919
nauty-8_24;-0.15597;-0.01967
nauty-8_25;0.08695;0.12266
nauty-8_26;0.03765;0.07743
nauty-8_27;0.18067;-0.01321
nauty-8_28;-0.01055;0.08692
nauty-8_29;0.03205;0.06328
nauty-8_30;0.05315;0.03369
nauty-8_31;-0.07538;0.03454
nauty-8_32;-0.03151;0.09474
nauty-8_33;0.05351;0.03391
nauty-8_34;-0.01304;0.09059
nauty-8_35;-0.01014;-0.07529
nauty-8_36;-0.04381;-0.03335
nauty-8_37;-0.01649;-0.08328
nauty-8_38;-0.00645;0.00637
nauty-8_39;0.15604;0.10716
nauty-8_40;-0.07776;-0.11238
nauty-8_41;0.1373;0.03071
nauty-8_42;0.04583;0.06473
nauty-8_43;0.06852;0.0249
nauty-8_44;0.0124;-0.00041
nauty-8_45;-0.01485;0.01931
nauty-8_46;0.10053;0.07054
nauty-8_47;-0.00267;0.00206
nauty-8_48;0.06806;-0.05008
nauty-8_49;0.10791;0.06907
nauty-8_50;0.0139;0.09431
nauty-8_51;0.04431;0.06511
nauty-8_52;0.08171;0.00808
nauty-8_53;0.08569;-0.0145
nauty-8_54;-0.05143;0.004
nauty-8_55;0.0779;-0.09333
nauty-8_56;-0.06717;0.02047
nauty-8_57;-0.01476;0.2855
nauty-8_58;-0.09832;0.07583
nauty-8_59;0.04421;-0.026
nauty-8_60;-0.00553;0.01209
nauty-8_61;0.08669;0.11249
nauty-8_62;0.12102;-0.08504
nauty-8_63;0.05185;-0.11008
nauty-8_64;0.08991;0.10913
nauty-8_65;0.02043;0.1384
nauty-8_66;-0.02852;0.0957
nauty-8_67;0.0041;0.00297
nauty-8_68;-0.06324;0.06571
nauty-8_69;-0.00117;0.00455
nauty-8_70;0.04409;-0.06613
nauty-8_71;0.14014;0.00129
nauty-8_72;-0.04324;-0.04957
nauty-8_73;0.0283;0.07261
nauty-8_74;-0.02672;0.15831
nauty-8_75;0.16279;0.11199
nauty-8_76;0.05874;0.0461
nauty-8_77;0.08861;-0.0206
nauty-8_78;0.04015;0.13398
nauty-8_79;0.04905;0.19786
nauty-8_80;0.04686;0.12487
nauty-8_81;-0.04939;-0.04342
nauty-8_82;0.09648;0.11295
nauty-8_83;0.01992;0.07663
nauty-8_84;-0.04415;0.13315
nauty-8_85;0.13399;0.03099
nauty-8_86;0.04145;0.20442
nauty-8_87;-0.03938;0.04941
nauty-8_88;0.00234;-0.00091
nauty-8_89;0.09065;0.00686
nauty-8_90;-0.08066;0.05754
nauty-8_91;-0.02104;0.0955
nauty-8_92;0.0487;0.12408
nauty-8_93;0.13962;-0.04406
nauty-8_94;0.13829;0.00193
nauty-8_95;0.03034;-0.0123
nauty-8_96;0.02529;-0.0166
nauty-8_97;0.0193;0.15993
nauty-8_98;0.08892;0.00067
nauty-8_99;0.04811;0.11835
nauty-8_100;-0.02952;0.19901
nauty-8_101;0.10784;-0.03287
nauty-8_102;0.10245;0.06918
nauty-8_103;0.02403;-0.0182
nauty-8_104;-0.00103;0.00988
