instance_id;x;y
nauty-12_0;3.37878;5.8372
nauty-12_1;-1.46951;5.0833
nauty-12_2;-1.0963;5.70658
nauty-12_3;2.54324;8.67969
nauty-12_4;1.01074;7.909
nauty-12_5;5.83954;5.69377
nauty-12_6;-0.55654;4.24656
nauty-12_7;1.41936;5.12162
nauty-12_8;-1.11598;7.36443
nauty-12_9;2.62694;2.95645
nauty-12_10;2.36372;7.23655
nauty-12_11;2.69442;0.37668
nauty-12_12;1.26984;-0.46544
nauty-12_13;0.58477;-0.24038
nauty-12_14;0.67539;3.23816
nauty-12_15;1.6348;7.33316
nauty-12_16;0.21487;5.52898
nauty-12_17;0.19145;6.5966
nauty-12_18;3.27854;0.12239
nauty-12_19;4.34177;4.43171
nauty-12_20;2.74569;3.38168
nauty-12_21;2.71853;6.47244
nauty-12_22;-1.48936;5.78002
nauty-12_23;2.55719;9.27445
nauty-12_24;6.03976;7.32901
nauty-12_25;5.0892;3.8237
nauty-12_26;5.17171;6.15163
nauty-12_27;0.11388;7.65463
nauty-12_28;-2.03003;8.40329
nauty-12_29;-0.03276;0.49289
nauty-12_30;5.14564;9.38417
nauty-12_31;0.86471;-0.61959
nauty-12_32;-0.82856;-0.97249
nauty-12_33;3.84832;7.99523
nauty-12_34;3.33658;2.00817
nauty-12_35;1.73316;7.17332
nauty-12_36;2.14324;6.64234
nauty-12_37;5.89711;7.90306
nauty-12_38;-0.93585;0.34702
nauty-12_39;3.23823;3.2503
nauty-12_40;-1.37659;2.88979
nauty-12_41;-0.5801;2.97257
nauty-12_42;3.7696;5.38065
nauty-12_43;-2.80872;7.09854
nauty-12_44;1.83843;0.88492
nauty-12_45;6.0303;4.60606
nauty-12_46;1.59926;1.26556
nauty-12_47;-2.37664;5.96876
nauty-12_48;5.41544;7.63181
nauty-12_49;4.22937;2.55676
nauty-12_50;0.61728;4.19715
nauty-12_51;3.86697;6.94308
nauty-12_52;4.65799;1.48218
nauty-12_53;-1.65623;1.0071
nauty-12_54;0.91148;2.21213
nauty-12_55;3.29059;6.65275
