instance_id;x;y
nauty-12_0;-27.88986;-92.84772
nauty-12_1;-27.76151;-89.46683
nauty-12_2;-33.80255;-87.31094
nauty-12_3;-29.66563;-94.53524
nauty-12_4;-26.66932;-92.39254
nauty-12_5;-29.38303;-92.39266
nauty-12_6;-31.59564;-87.80762
nauty-12_7;-21.04433;-88.41557
nauty-12_8;-32.46279;-92.34894
nauty-12_9;-25.42314;-86.19929
nauty-12_10;-30.03228;-91.7044
nauty-12_11;83.73687;-33.77928
nauty-12_12;-23.15652;-79.15129
nauty-12_13;-24.20216;-74.72367
nauty-12_14;-25.52408;-84.33516
nauty-12_15;-28.26664;-93.85451
nauty-12_16;-29.96338;-87.38541
nauty-12_17;-27.22141;-91.72103
nauty-12_18;-24.53072;-80.00711
nauty-12_19;-22.75202;-90.72555
nauty-12_20;-24.45658;-88.6889
nauty-12_21;-29.07012;-93.76775
nauty-12_22;-31.9016;-89.74155
nauty-12_23;-30.18099;-97.61431
nauty-12_24;-28.87107;-98.15246
nauty-12_25;-27.31496;-88.0506
nauty-12_26;-26.3083;-95.09673
nauty-12_27;-31.33575;-87.92819
nauty-12_28;-33.19162;-91.80123
nauty-12_29;-26.35894;-78.28093
nauty-12_30;-28.87415;-100.74067
nauty-12_31;-17.38288;-74.46366
nauty-12_32;-21.92982;-66.8717
nauty-12_33;-28.07843;-96.63689
nauty-12_34;-24.8272;-85.6918
nauty-12_35;-24.24811;-93.85689
nauty-12_36;-29.55946;-90.16591
nauty-12_37;-28.16459;-98.7013
nauty-12_38;-21.008;-75.00594
nauty-12_39;-25.22751;-86.10995
nauty-12_40;-25.87456;-80.90916
nauty-12_41;-25.14788;-83.16659
nauty-12_42;-24.40675;-91.41603
nauty-12_43;-31.69464;-91.21048
nauty-12_44;-18.97887;-81.85219
nauty-12_45;-28.47287;-92.77872
nauty-12_46;-21.90152;-86.76822
nauty-12_47;-33.77499;-87.11823
nauty-12_48;-28.48162;-95.18663
nauty-12_49;-25.81667;-87.19612
nauty-12_50;-29.86435;-86.44603
nauty-12_51;-31.50298;-90.88627
nauty-12_52;-23.98553;-85.85386
nauty-12_53;-25.65114;-78.44571
nauty-12_54;-29.08561;-80.96715
nauty-12_55;-31.42195;-92.42392
nauty-12_56;-27.96298;-84.04698
nauty-12_57;-41.41766;-60.90237
nauty-12_58;-27.90049;-87.34777
nauty-12_59;-23.65989;-86.41552
nauty-12_60;-25.12066;-81.60825
nauty-12_61;-27.9822;-93.67455
nauty-12_62;-31.18478;-95.33683
nauty-12_63;-23.55645;-88.74233
nauty-12_64;-27.31154;-89.00711
nauty-12_65;-24.03345;-91.8923
nauty-12_66;-27.16264;-84.96187
nauty-12_67;-28.16459;-98.7013
nauty-12_68;-21.0689;-71.0797
nauty-12_69;-25.13353;-89.39116
nauty-12_70;-30.49284;-76.51117
nauty-12_71;-26.53994;-91.04363
nauty-12_72;-30.63913;-87.50708
nauty-12_73;-24.73882;-73.51151
nauty-12_74;-29.78179;-84.99775
nauty-12_75;-28.34023;-90.51742
nauty-12_76;-26.38542;-82.29795
nauty-12_77;-34.07021;-87.5709
nauty-12_78;-25.84504;-85.44091
nauty-12_79;-31.88742;-92.12531
nauty-12_80;-29.79857;-84.22176
nauty-12_81;-29.60099;-97.76079
nauty-12_82;-20.7623;-80.07841
nauty-12_83;-17.79315;-81.46412
nauty-12_84;-28.88817;-89.64865
nauty-12_85;-26.91676;-93.4497
nauty-12_86;-20.25871;-92.22188
nauty-12_87;-13.71414;-81.0801
nauty-12_88;-22.44786;-84.23989
nauty-12_89;-30.135;-96.46313
nauty-12_90;-29.56838;-90.36892
nauty-12_91;-29.0026;-79.05002
nauty-12_92;-28.86612;-96.23158
nauty-12_93;-29.17824;-91.72383
nauty-12_94;-29.92594;-96.73673
nauty-12_95;-27.58391;-93.97518
nauty-12_96;-27.3815;-91.21325
nauty-12_97;-17.10179;-73.60227
nauty-12_98;-30.68975;-94.5515
nauty-12_99;-27.60488;-82.11347
condorcet_reversal_1_0;148.67208;551.39923
condorcet_reversal_1_1;162.1539;335.01915
condorcet_reversal_1_2;-109.68435;320.89328
condorcet_reversal_1_3;221.13565;141.28357
condorcet_reversal_1_4;94.26567;505.8857
condorcet_reversal_2_0;36.77673;426.3084
condorcet_reversal_2_1;3.95759;435.89772
condorcet_reversal_2_2;-13.08914;230.16334
condorcet_reversal_2_3;65.56272;472.81182
condorcet_reversal_2_4;-26.4974;316.81467
condorcet_reversal_4_0;218.60531;134.51555
condorcet_reversal_4_1;170.46038;486.15975
condorcet_reversal_4_2;246.13536;268.83235
condorcet_reversal_4_3;-125.27466;239.2274
condorcet_reversal_4_4;-28.48345;-27.79743
condorcet_reversal_8_0;-26.54281;-59.55874
condorcet_reversal_8_1;-92.45762;48.5007
condorcet_reversal_8_2;-23.59144;-72.6423
condorcet_reversal_8_3;-101.51138;52.68869
condorcet_reversal_8_4;258.74139;196.87248
condorcet_reversal_16_0;-24.74031;-78.55058
condorcet_reversal_16_1;82.01448;-15.04444
condorcet_reversal_16_2;-104.05729;28.05683
condorcet_reversal_16_3;-31.56453;-72.55434
condorcet_reversal_16_4;-29.5514;-74.49924
pow2_0;-24.80695;1.65204
pow2_1;103.9293;539.96146
pow2_2;-50.2539;-18.62144
pow2_3;172.33478;298.62978
pow2_4;150.19199;403.2718
pow2_5;148.65882;551.40284
pow2_6;59.40823;487.96916
pow2_7;37.87077;368.76818
pow2_8;121.15832;452.64853
pow2_9;86.18192;301.00423
exp_0;10.04317;493.18241
exp_1;232.17871;395.69238
exp_2;148.65841;551.40296
exp_3;140.77984;496.06846
exp_4;147.42308;493.033
exp_5;103.92185;539.96294
exp_6;-26.00596;377.38154
exp_7;148.66483;551.40121
exp_8;39.75919;479.46127
exp_9;169.55258;82.98017
lin_0;162.90568;64.96256
lin_1;82.2543;-5.9082
lin_2;47.88044;135.44888
lin_3;84.90498;2.46624
lin_4;80.92699;-16.92257
lin_5;91.81858;-17.93484
lin_6;167.23969;46.44565
lin_7;93.55828;11.4866
lin_8;165.12027;42.7285
lin_9;37.79041;116.41613
log_0;162.59977;48.83272
log_1;84.07809;-35.47507
log_2;83.05162;-29.55892
log_3;82.71371;-15.11159
log_4;83.75124;-33.05064
log_5;84.39652;-14.50625
log_6;87.24863;-37.72587
log_7;222.14429;113.67825
log_8;86.54665;-34.90204
log_9;85.37095;-34.43319
sqrt_0;-34.14742;-84.47011
sqrt_1;-14.1416;-80.37793
sqrt_2;-24.05837;-88.0382
sqrt_3;-22.9549;-85.09466
sqrt_4;-31.91316;-77.14298
sqrt_5;-21.33334;-80.16187
sqrt_6;-17.22607;-80.45393
sqrt_7;-22.67416;-90.46813
sqrt_8;-32.31132;-85.93906
sqrt_9;-22.24399;-89.25006
uniform_0;-30.55066;-84.78044
uniform_1;-33.25039;-84.23088
uniform_2;-21.80857;-96.18027
uniform_3;-27.63518;-72.97237
uniform_4;-35.48448;-83.99016
uniform_5;-30.315;-92.66727
uniform_6;-21.80323;-84.63681
uniform_7;-26.78596;-84.21453
uniform_8;-26.47509;-92.68676
uniform_9;-25.05638;-88.55117
uniform_10;-22.97698;-89.49386
uniform_11;-22.16829;-88.26593
uniform_12;-30.01082;-85.64783
uniform_13;-29.41121;-88.95198
uniform_14;-20.42509;-86.0051
uniform_15;81.91173;-26.99536
uniform_16;-28.66693;-82.39594
uniform_17;-26.91676;-93.4497
uniform_18;-25.36294;-91.59472
uniform_19;-28.2456;-89.64026
nba_2000-01_regular_season_0;-28.96061;-68.15122
nba_2000-01_regular_season_0_1;83.69193;-6.10984
nba_2000-01_regular_season_0_1_2;-32.86774;-52.49402
nba_2000-01_regular_season_0_1_2_3;203.86055;222.3682
nba_2001-02_regular_season_0;-32.10624;-67.57391
nba_2001-02_regular_season_0_1;-31.67641;-65.69648
nba_2001-02_regular_season_0_1_2;-33.97163;-64.13035
nba_2001-02_regular_season_0_1_2_3;-36.90512;-47.68328
nba_2002-03_regular_season_0;-24.312;-48.62382
