instance_id;x;y
nauty-12_0;11.81552;-18.92296
nauty-12_1;10.03116;-16.18188
nauty-12_2;4.97314;-18.75784
nauty-12_3;13.61146;-20.21491
nauty-12_4;10.93346;-18.67058
nauty-12_5;14.36342;-17.06589
nauty-12_6;13.29274;-12.99541
nauty-12_7;3.46081;-17.43901
nauty-12_8;15.35497;-17.31029
nauty-12_9;6.98175;-13.8132
nauty-12_10;12.62553;-17.68232
nauty-12_11;-8.46478;-15.15156
nauty-12_12;1.66907;-8.58104
nauty-12_13;-1.33209;-5.56435
nauty-12_14;6.12568;-12.27225
nauty-12_15;13.5214;-19.00789
nauty-12_16;11.56137;-13.31906
nauty-12_17;10.17777;-18.57441
nauty-12_18;3.87238;-8.38991
nauty-12_19;12.58365;-14.59376
nauty-12_20;7.57783;-16.04146
nauty-12_21;12.85623;-19.61636
nauty-12_22;14.69155;-14.49477
nauty-12_23;15.71683;-22.39192
nauty-12_24;14.9054;-23.21112
nauty-12_25;9.60497;-14.80313
nauty-12_26;10.54243;-21.81012
nauty-12_27;13.27766;-13.19212
nauty-12_28;16.7432;-15.68457
nauty-12_29;3.64496;-6.82355
nauty-12_30;15.55717;-25.74543
nauty-12_31;-4.59699;-6.97125
nauty-12_32;-6.28817;1.27127
nauty-12_33;13.18719;-22.40474
nauty-12_34;5.53142;-14.03786
nauty-12_35;16.03468;-16.01917
nauty-12_36;12.22295;-16.06475
nauty-12_37;14.09284;-24.17722
nauty-12_38;-1.24482;-4.8938
nauty-12_39;6.66227;-13.88613
nauty-12_40;4.78384;-9.21986
nauty-12_41;7.33312;-10.06833
nauty-12_42;7.0148;-19.45071
nauty-12_43;14.20595;-16.48084
nauty-12_44;-0.58118;-12.01214
nauty-12_45;12.10352;-18.81693
nauty-12_46;3.27109;-15.89932
nauty-12_47;14.97682;-11.73689
nauty-12_48;12.50228;-21.28353
nauty-12_49;8.27251;-14.25411
nauty-12_50;10.5794;-12.77495
nauty-12_51;14.54624;-15.7705
nauty-12_52;5.07538;-14.2821
nauty-12_53;3.82378;-6.82098
nauty-12_54;7.72126;-7.93105
nauty-12_55;10.25412;-20.63807
nauty-12_56;7.55704;-11.60425
nauty-12_57;8.28911;18.01313
nauty-12_58;9.36689;-14.23541
nauty-12_59;5.90605;-14.34746
nauty-12_60;3.60562;-10.68495
nauty-12_61;12.96892;-19.12728
nauty-12_62;10.2733;-23.28539
nauty-12_63;7.03056;-16.24508
nauty-12_64;8.63964;-16.55434
nauty-12_65;8.88956;-18.78336
nauty-12_66;4.50979;-14.61466
nauty-12_67;14.09284;-24.17722
nauty-12_68;-2.53236;-2.55136
nauty-12_69;7.15537;-17.27257
nauty-12_70;7.20764;-3.1741
nauty-12_71;8.59134;-18.62374
nauty-12_72;12.44026;-13.08416
nauty-12_73;0.92299;-3.9662
nauty-12_74;10.39998;-11.26737
nauty-12_75;10.63756;-17.1311
nauty-12_76;4.68182;-10.99409
nauty-12_77;15.52063;-11.88589
nauty-12_78;7.10623;-13.00904
nauty-12_79;15.45909;-16.6498
nauty-12_80;10.28202;-10.42515
nauty-12_81;15.35003;-22.64135
nauty-12_82;0.52135;-9.7921
nauty-12_83;-1.85944;-11.95601
nauty-12_84;11.13264;-15.96654
nauty-12_85;11.33553;-19.69644
nauty-12_86;16.90987;-13.06197
nauty-12_87;-5.11739;-13.54404
nauty-12_88;3.30578;-13.23366
nauty-12_89;15.22687;-21.38247
nauty-12_90;12.84142;-15.82406
nauty-12_91;6.80143;-6.16568
nauty-12_92;12.66032;-22.43966
nauty-12_93;12.06801;-17.85041
nauty-12_94;15.77535;-21.20153
nauty-12_95;13.23917;-19.1536
nauty-12_96;9.82836;-18.20092
nauty-12_97;-5.24147;-6.25135
nauty-12_98;14.77518;-19.73874
nauty-12_99;6.60927;-9.73999
condorcet_reversal_1_0;-33.22637;54.37251
condorcet_reversal_1_1;-29.52433;41.46326
condorcet_reversal_1_2;-15.39814;47.93811
condorcet_reversal_1_3;-31.96873;35.3783
condorcet_reversal_1_4;-27.55797;51.98319
condorcet_reversal_2_0;-20.735;47.67144
condorcet_reversal_2_1;-20.96074;50.0832
condorcet_reversal_2_2;-11.58107;38.83457
condorcet_reversal_2_3;-24.89832;50.3589
condorcet_reversal_2_4;-20.35354;44.52715
condorcet_reversal_4_0;-31.81763;25.00996
condorcet_reversal_4_1;-35.7467;46.08107
condorcet_reversal_4_2;-37.41318;26.34632
condorcet_reversal_4_3;-9.07004;43.94898
condorcet_reversal_4_4;-14.41086;36.57621
condorcet_reversal_8_0;-4.84272;10.68271
condorcet_reversal_8_1;-14.58076;21.43408
condorcet_reversal_8_2;2.75929;-0.23342
condorcet_reversal_8_3;1.11391;31.66262
condorcet_reversal_8_4;-38.16886;16.88394
condorcet_reversal_16_0;2.46533;-7.66115
condorcet_reversal_16_1;-13.89927;3.78952
condorcet_reversal_16_2;11.6153;19.62754
condorcet_reversal_16_3;6.15079;1.0878
condorcet_reversal_16_4;4.53154;-2.10934
pow2_0;-24.66487;24.57615
pow2_1;-27.20716;55.5371
pow2_2;-5.55013;29.66739
pow2_3;-32.856;32.92963
pow2_4;-30.41155;43.12539
pow2_5;-33.22637;54.37251
pow2_6;-19.77604;52.73742
pow2_7;-23.72494;45.05691
pow2_8;-33.22079;43.16967
pow2_9;-26.02638;38.74248
exp_0;-21.60867;53.73784
exp_1;-37.8272;39.08709
exp_2;-33.22637;54.37251
exp_3;-31.23484;49.11098
exp_4;-32.13963;48.47313
exp_5;-27.20716;55.5371
exp_6;-19.03342;47.75748
exp_7;-33.22637;54.37251
exp_8;-23.87444;51.68122
exp_9;-30.26149;25.30388
lin_0;-26.40704;16.77428
lin_1;-11.90494;10.68322
lin_2;-25.75244;18.09877
