instance_id;x;y
nauty-12_0;-2.27754;0.09909
nauty-12_1;-1.82277;-0.51415
nauty-12_2;-1.86191;0.21323
nauty-12_3;-2.45304;1.1657
nauty-12_4;-2.36307;0.25292
nauty-12_5;-2.27584;1.09265
nauty-12_6;-1.34314;-0.68664
nauty-12_7;-1.77099;-0.31597
nauty-12_8;-1.83585;0.76736
nauty-12_9;-1.63127;-0.80654
nauty-12_10;-2.19692;0.47589
nauty-12_11;-0.69887;-0.33554
nauty-12_12;-0.19122;-1.32002
nauty-12_13;0.67911;-1.10957
nauty-12_14;-1.22083;-0.89834
nauty-12_15;-2.33257;0.79135
nauty-12_16;-1.95645;-0.04719
nauty-12_17;-1.92606;-0.10223
nauty-12_18;-0.91803;-1.18399
nauty-12_19;-1.89432;0.07611
nauty-12_20;-1.6382;-0.38743
nauty-12_21;-2.2673;0.1794
nauty-12_22;-1.96183;0.32742
nauty-12_23;-2.34722;1.78753
nauty-12_24;-2.28089;1.82107
nauty-12_25;-2.03233;-0.2329
nauty-12_26;-2.16985;0.39877
nauty-12_27;-1.99793;0.80284
nauty-12_28;-1.88031;1.26454
nauty-12_29;-0.41553;-1.3534
nauty-12_30;-2.05498;2.9423
nauty-12_31;0.25993;-1.26716
nauty-12_32;0.75655;-1.39625
nauty-12_33;-2.44176;1.24578
nauty-12_34;-1.02108;-0.96086
nauty-12_35;-1.87081;1.42521
nauty-12_36;-2.25242;0.28653
nauty-12_37;-2.28369;2.16449
nauty-12_38;-0.2683;-1.47197
nauty-12_39;-1.47146;-0.78009
nauty-12_40;-1.0737;-1.1376
nauty-12_41;-1.25273;-0.95508
nauty-12_42;-2.09534;0.11878
nauty-12_43;-1.91133;0.69732
nauty-12_44;-0.78678;-1.07255
nauty-12_45;-2.18404;0.1105
nauty-12_46;-0.76151;-0.89767
nauty-12_47;-1.47711;0.64472
nauty-12_48;-2.1826;1.15276
nauty-12_49;-1.69919;-0.54988
nauty-12_50;-1.40183;-0.66743
nauty-12_51;-1.92383;1.0389
nauty-12_52;-1.21643;-1.0184
nauty-12_53;-0.28163;-1.27763
nauty-12_54;-1.02967;-1.04181
nauty-12_55;-1.88134;0.48082
nauty-12_56;-1.25692;-0.75169
nauty-12_57;2.14748;-0.51686
nauty-12_58;-1.99376;-0.09364
nauty-12_59;-1.43486;-0.93385
nauty-12_60;-0.28653;-1.32573
nauty-12_61;-2.40699;1.17928
nauty-12_62;-1.81569;0.68406
nauty-12_63;-2.02838;-0.30905
nauty-12_64;-1.62774;-0.26141
nauty-12_65;-2.15997;0.67548
nauty-12_66;-0.66448;-0.96619
nauty-12_67;-2.24175;2.06908
nauty-12_68;0.15617;-1.18446
nauty-12_69;-1.61484;-0.40958
nauty-12_70;-0.1001;-0.57843
nauty-12_71;-1.73552;-0.13407
nauty-12_72;-1.85044;0.18424
nauty-12_73;0.29132;-1.05644
nauty-12_74;-1.34403;-0.60948
nauty-12_75;-1.88889;-0.48502
nauty-12_76;-1.20646;-1.07755
nauty-12_77;-1.72727;1.0993
nauty-12_78;-1.29681;-0.85724
nauty-12_79;-2.06536;1.17096
nauty-12_80;-1.35248;-0.5841
nauty-12_81;-2.46866;1.67858
nauty-12_82;-0.71594;-0.91368
nauty-12_83;-0.68286;-0.97371
nauty-12_84;-1.98512;-0.21206
nauty-12_85;-2.39164;0.26847
nauty-12_86;-1.70604;1.0095
nauty-12_87;-0.32305;-0.18759
nauty-12_88;-1.2023;-0.5102
nauty-12_89;-2.34732;1.78315
nauty-12_90;-2.19779;0.61508
nauty-12_91;-0.82969;-0.99166
nauty-12_92;-2.18978;1.14618
nauty-12_93;-2.22953;0.49133
nauty-12_94;-2.35244;1.67246
nauty-12_95;-2.44737;1.16367
nauty-12_96;-1.93254;-0.34976
nauty-12_97;0.54885;-1.27142
nauty-12_98;-2.33488;0.9837
nauty-12_99;-1.16987;-0.71805
nba_nba_2000-01_regular_season_0;1.21853;-0.6004
nba_nba_2000-01_regular_season_1;2.20752;-0.80262
nba_nba_2000-01_regular_season_2;0.68909;-0.79348
nba_nba_2000-01_regular_season_3;2.23421;0.09867
nba_nba_2001-02_regular_season_0;0.51044;-0.79926
nba_nba_2001-02_regular_season_1;1.07312;-1.1118
nba_nba_2001-02_regular_season_2;1.2661;-1.04584
nba_nba_2001-02_regular_season_3;0.82669;-0.9865
nba_nba_2002-03_regular_season_0;1.17301;-1.27826
nba_nba_2002-03_regular_season_1;1.78636;-0.50011
nba_nba_2002-03_regular_season_2;1.7124;-0.35215
nba_nba_2002-03_regular_season_3;-1.44042;-1.01537
nba_nba_2003-04_regular_season_0;1.31486;-1.25992
nba_nba_2003-04_regular_season_1;1.43894;-0.0147
nba_nba_2003-04_regular_season_2;1.62687;-1.14163
nba_nba_2003-04_regular_season_3;1.69812;-0.50882
nba_nba_2004-05_regular_season_0;2.90126;-0.26775
nba_nba_2004-05_regular_season_1;1.68105;-0.63766
nba_nba_2004-05_regular_season_2;1.76267;-0.98638
nba_nba_2004-05_regular_season_3;1.25695;-0.85944
nba_nba_2005-06_regular_season_0;-0.12146;-1.29151
nba_nba_2005-06_regular_season_1;-1.54908;-0.63367
nba_nba_2005-06_regular_season_2;3.18468;0.30096
nba_nba_2005-06_regular_season_3;1.75719;-1.17188
nba_nba_2006-07_regular_season_0;1.78234;-0.95366
nba_nba_2006-07_regular_season_1;1.53131;-1.13473
nba_nba_2006-07_regular_season_2;1.37002;-0.71748
nba_nba_2006-07_regular_season_3;0.19988;-0.84885
nba_nba_2007-08_regular_season_0;2.61093;-0.15375
nba_nba_2007-08_regular_season_1;2.72089;0.85119
nba_nba_2007-08_regular_season_2;-0.04265;-0.28723
nba_nba_2007-08_regular_season_3;3.01886;-0.03562
nba_nba_2008-09_regular_season_0;1.76619;-0.61954
nba_nba_2008-09_regular_season_1;2.70536;-0.33623
nba_nba_2008-09_regular_season_2;1.67754;0.08801
nba_nba_2008-09_regular_season_3;0.70126;-1.07878
nba_nba_2009-10_regular_season_0;0.75283;-0.61575
nba_nba_2009-10_regular_season_1;0.69206;-0.84876
nba_nba_2009-10_regular_season_2;2.51772;-0.16661
nba_nba_2009-10_regular_season_3;2.12457;-0.71154
nba_nba_2010-11_regular_season_0;1.93481;-0.07598
nba_nba_2010-11_regular_season_1;-0.27049;-1.36452
nba_nba_2010-11_regular_season_2;0.71705;-0.81917
nba_nba_2010-11_regular_season_3;3.80571;0.56541
nba_nba_2011-12_regular_season_0;2.58519;-0.20055
nba_nba_2011-12_regular_season_1;2.3246;-0.04883
nba_nba_2011-12_regular_season_2;0.27811;-1.2284
nba_nba_2011-12_regular_season_3;1.69708;-0.40954
nba_nba_2012-13_regular_season_0;2.50971;-0.59923
nba_nba_2012-13_regular_season_1;0.51645;-0.10877
nba_nba_2012-13_regular_season_2;1.27879;-0.70349
nba_nba_2012-13_regular_season_3;0.36643;-1.334
nba_nba_2013-14_regular_season_0;2.48462;-0.38515
nba_nba_2013-14_regular_season_1;0.59728;-0.95006
nba_nba_2013-14_regular_season_2;1.86158;-0.65628
nba_nba_2013-14_regular_season_3;0.57312;0.04126
nba_nba_2014-15_regular_season_0;2.70405;-0.31862
nba_nba_2014-15_regular_season_1;0.39813;-1.04188
nba_nba_2014-15_regular_season_2;2.28618;-0.49212
nba_nba_2014-15_regular_season_3;0.38544;-1.05948
nba_nba_2015-16_regular_season_0;0.81608;-1.27473
nba_nba_2015-16_regular_season_1;1.14977;-0.78921
nba_nba_2015-16_regular_season_2;3.37185;0.36382
nba_nba_2015-16_regular_season_3;0.61387;-0.55269
nba_nba_2016-17_regular_season_0;1.73354;-0.37568
nba_nba_2016-17_regular_season_1;1.78092;-0.60447
nba_nba_2016-17_regular_season_2;0.42337;-1.30868
nba_nba_2016-17_regular_season_3;-0.02592;-0.84787
nba_nba_2017-18_regular_season_0;0.11026;-0.52303
nba_nba_2017-18_regular_season_1;-1.49987;-0.25402
nba_nba_2017-18_regular_season_2;0.13378;-0.85731
nba_nba_2017-18_regular_season_3;0.27776;-0.93862
nba_nba_2018-19_regular_season_0;1.27315;-0.51543
nba_nba_2018-19_regular_season_1;2.61261;-0.46832
