instance_id;x;y
condorcet_noise_1_0;0.33785;0.41481
condorcet_noise_1_1;0.07898;0.48042
condorcet_noise_1_2;0.40919;0.45962
condorcet_noise_1_3;0.10278;0.39464
condorcet_noise_1_4;0.29934;0.55094
condorcet_noise_1_5;0.42781;0.56739
condorcet_noise_1_6;0.14348;0.51493
condorcet_noise_1_7;0.46423;0.51794
condorcet_noise_1_8;0.21203;0.54427
condorcet_noise_1_9;0.08042;0.46809
condorcet_noise_1_10;-0.08342;0.48788
condorcet_noise_1_11;0.37652;0.58999
condorcet_noise_1_12;0.22898;0.57772
condorcet_noise_1_13;0.22288;0.43108
condorcet_noise_1_14;0.18352;0.45393
condorcet_noise_7_0;0.12399;-0.22608
condorcet_noise_7_1;0.17158;0.01277
condorcet_noise_7_2;0.02103;0.13667
condorcet_noise_7_3;0.05824;0.18296
condorcet_noise_7_4;0.01082;0.10972
condorcet_noise_7_5;0.00734;0.18395
condorcet_noise_7_6;-0.0097;0.09576
condorcet_noise_7_7;0.30975;0.18635
condorcet_noise_7_8;-0.17022;-0.24972
condorcet_noise_7_9;0.3255;0.07609
condorcet_noise_7_10;0.02975;0.02605
condorcet_noise_7_11;0.07913;-0.00442
condorcet_noise_7_12;-0.12132;0.21196
condorcet_noise_7_13;0.29826;-0.03598
condorcet_noise_7_14;0.00442;-0.07563
condorcet_noise_5_0;-0.02703;-0.3343
condorcet_noise_5_1;-0.22432;-0.54847
condorcet_noise_5_2;0.13869;-0.33569
condorcet_noise_5_3;0.15325;-0.45262
condorcet_noise_5_4;0.01189;-0.4489
condorcet_noise_5_5;0.25714;-0.29699
condorcet_noise_5_6;0.1533;-0.22155
condorcet_noise_5_7;0.14008;-0.31695
condorcet_noise_5_8;0.03478;-0.14967
condorcet_noise_5_9;0.08851;-0.35191
condorcet_noise_5_10;-0.11744;-0.16429
condorcet_noise_5_11;-0.18838;-0.36478
condorcet_noise_5_12;0.07019;-0.29327
condorcet_noise_5_13;0.29877;-0.11723
condorcet_noise_5_14;-0.229;-0.41439
condorcet_noise_3_0;-0.1654;-0.78588
condorcet_noise_3_1;0.09854;-0.34064
condorcet_noise_3_2;-0.07645;-0.47426
condorcet_noise_3_3;-0.16818;-0.59519
condorcet_noise_3_4;-0.16298;-0.67287
condorcet_noise_3_5;-0.40926;-0.21954
condorcet_noise_3_6;-0.23141;-0.73004
condorcet_noise_3_7;-0.19587;-0.56351
condorcet_noise_3_8;-0.31002;-0.61325
condorcet_noise_3_9;-0.22739;-0.74165
condorcet_noise_3_10;-0.16921;-0.48855
condorcet_noise_3_11;-0.07366;-0.63248
condorcet_noise_3_12;-0.24587;-0.76833
condorcet_noise_3_13;-0.01622;-0.75093
condorcet_noise_3_14;0.01213;-0.35098
exp_0;0.23577;0.95205
exp_1;0.23322;0.90777
exp_2;0.3459;0.88602
exp_3;0.15949;0.92346
exp_4;0.1904;0.94479
exp_5;0.18015;0.94107
exp_6;0.23674;0.9649
exp_7;0.10309;0.93017
exp_8;0.14433;0.89228
exp_9;0.15882;0.92799
exp_10;0.14581;0.95263
exp_11;0.12217;0.91368
exp_12;0.38182;0.94352
exp_13;0.10368;0.90506
exp_14;0.18844;0.90252
pow2_0;0.24286;0.86754
pow2_1;0.164;0.86361
pow2_2;0.11055;0.90982
pow2_3;0.30096;0.9276
pow2_4;0.28518;0.90681
pow2_5;0.07005;0.94001
pow2_6;0.13306;0.87785
pow2_7;0.21907;0.87475
pow2_8;0.32603;0.86395
pow2_9;0.272;0.86589
pow2_10;0.34246;0.9102
pow2_11;0.16353;0.8901
pow2_12;0.20311;0.89398
pow2_13;0.22197;0.9177
pow2_14;0.07664;0.89004
lin_0;-0.23984;-0.03203
lin_1;-0.34607;0.11346
lin_2;-0.23157;0.08729
lin_3;0.09945;0.16209
lin_4;-0.24981;0.305
lin_5;-0.12966;0.12947
lin_6;-0.10112;0.03294
lin_7;-0.2847;0.20613
lin_8;-0.16727;0.09698
lin_9;-0.22474;0.2345
lin_10;-0.23001;0.21239
lin_11;-0.24082;0.05556
lin_12;-0.22221;-0.03551
lin_13;-0.11435;0.16395
lin_14;-0.28505;0.29168
log_0;-0.23301;-0.1855
log_1;-0.24624;-0.17922
log_2;-0.44542;-0.19977
log_3;-0.59362;-0.47001
log_4;-0.30985;-0.23276
log_5;-0.45313;-0.36082
log_6;-0.33756;-0.28741
log_7;-0.29031;-0.14158
log_8;-0.32436;-0.16578
log_9;-0.27318;-0.14892
log_10;-0.38561;-0.11665
log_11;-0.20445;-0.24081
log_12;-0.22177;-0.134
log_13;-0.30609;-0.29483
log_14;-0.44812;-0.45338
sqrt_0;-0.0794;-0.44805
sqrt_1;0.27988;-0.34528
sqrt_2;-0.04541;-0.28267
sqrt_3;-0.15133;-0.43067
sqrt_4;-0.36496;-0.46056
sqrt_5;0.01356;-0.26145
sqrt_6;-0.28815;-0.40742
sqrt_7;-0.28642;-0.16646
sqrt_8;-0.14578;-0.51366
sqrt_9;0.04725;-0.56466
sqrt_10;-0.40165;-0.67785
sqrt_11;0.02569;-0.46172
sqrt_12;0.08541;-0.39793
sqrt_13;-0.3279;-0.25797
sqrt_14;-0.19265;-0.42397
rand_pow_0;0.33573;0.82539
rand_pow_1;0.43536;0.44183
rand_pow_2;0.37652;0.75581
rand_pow_3;0.47455;0.79884
rand_pow_4;0.3203;0.90716
rand_pow_5;0.34519;0.71556
rand_pow_6;0.25996;0.84557
rand_pow_7;0.32168;0.73394
rand_pow_8;0.40772;0.9133
rand_pow_9;0.29806;0.77524
rand_pow_10;0.42308;0.82017
rand_pow_11;0.54447;0.13599
rand_pow_12;0.30844;0.41375
rand_pow_13;0.24266;0.30249
rand_pow_14;0.25163;0.0364
uniform_0;-0.26127;-0.47783
uniform_1;-0.12933;-0.31245
uniform_2;-0.06334;-0.75592
uniform_3;-0.1827;-0.4747
uniform_4;-0.21942;-0.67924
uniform_5;-0.24258;-0.71708
uniform_6;-0.10207;-0.49278
uniform_7;-0.2049;-0.7126
uniform_8;-0.21608;-0.87828
uniform_9;-0.25726;-0.88776
uniform_10;-0.38392;-0.80141
uniform_11;-0.13605;-0.82354
uniform_12;-0.33497;-0.58102
uniform_13;-0.23798;-0.89967
uniform_14;-0.26814;-0.93394
uniform_15;-0.13794;-0.8627
uniform_16;-0.18628;-0.68849
uniform_17;-0.14196;-0.71089
uniform_18;-0.29964;-0.81479
uniform_19;-0.37651;-0.67052
uniform_20;-0.1506;-0.87361
uniform_21;-0.08654;-0.75428
uniform_22;-0.24865;-0.62993
uniform_23;-0.44424;-0.75186
uniform_24;-0.33779;-0.80643
uniform_25;-0.27347;-0.77528
uniform_26;-0.33101;-0.86467
uniform_27;-0.09159;-0.84136
uniform_28;-0.27285;-0.72912
uniform_29;-0.40185;-0.73505
uniform_30;-0.13178;-0.76941
uniform_31;-0.01771;-0.629
uniform_32;-0.31378;-0.85517
uniform_33;-0.26899;-0.87364
uniform_34;-0.03656;-0.57908
uniform_35;-0.16902;-0.71964
uniform_36;-0.28015;-0.63583
uniform_37;-0.20719;-0.88062
uniform_38;0.02257;-0.79431
uniform_39;0.00018;-0.63484
uniform_40;-0.4668;-0.84358
uniform_41;-0.11409;-0.88977
uniform_42;-0.12228;-0.71734
uniform_43;-0.07978;-0.67299
uniform_44;-0.09173;-0.7359
uniform_45;-0.21499;-0.90792
uniform_46;-0.15551;-0.96322
uniform_47;-0.04828;-0.74467
uniform_48;-0.3632;-0.77321
uniform_49;-0.18875;-0.96341
