instance_id;value;time
IDAN_0;0.9166666667;0
IDAN_1;0.8333333333;0
IDAN_2;0.75;0
IDAN_3;0.6666666667;0
IDAN_4;0.5833333333;0
IDAN_5;0.5;0
IDAN_6;0.4166666667;0
IDAN_7;0.3333333333;0
IDAN_8;0.25;0
IDAN_9;0.1666666667;0
IDAN_10;0.08333333333;0
ANUN_0;0.01116071429;0
ANUN_1;0.01711309524;0
ANUN_2;0.02306547619;0
ANUN_3;0.02455357143;0
ANUN_4;0.02306547619;0
ANUN_5;0.0349702381;0
ANUN_6;0.03422619048;0
ANUN_7;0.02604166667;0
ANUN_8;0.03645833333;0
ANUN_9;0.03199404762;0
ANUN_10;0.04166666667;0
Mallows_0;0.9144345238;0
Mallows_1;0.8422619048;0
Mallows_2;0.75;0
Mallows_3;0.6555059524;0
Mallows_4;0.5796130952;0
Mallows_5;0.5052083333;0
Mallows_6;0.431547619;0
Mallows_7;0.3035714286;0
Mallows_8;0.25;0
Mallows_9;0.1748511905;0
Mallows_10;0.09672619048;0
Irish_0;0.4052297588;0
Irish_1;0.3300181184;0
Irish_2;0.4787906652;0
Debian_0;0.5126315789;0
Debian_1;0.4729508197;0
Debian_2;0.4281934996;0
Debian_3;0.5071258907;0
Debian_4;0.3467611803;0
Debian_5;0.5518348624;0
Debian_6;0.6674937965;0
Debian_7;0.3538961039;0
Netflix_0;0.4792004322;0
Netflix_1;0.2618025751;0
Netflix_2;0.4623931624;0
Netflix_3;0.3191489362;0
Netflix_4;0.2541666667;0
Netflix_5;0.4852233677;0
Netflix_6;0.3196614583;0
Netflix_7;0.6120218579;0
Netflix_8;0.5580029369;0
Netflix_9;0.5355715428;0
Skating_0;0.9218559219;0
Skating_1;0.9393939394;0
Skating_2;0.8994152047;0
Skating_3;0.9549114332;0
Skating_4;0.847020934;0
Skating_5;0.8557504873;0
Skating_6;0.9016249451;0
Skating_7;0.7618010167;0
Skating_8;0.9336617406;0
Skating_9;0.9323671498;0
ERS_0;0.2973429084;0
ERS_1;0.3243243243;0
ERS_2;0.4043699866;0
ERS_3;0.3910367893;0
ERS_4;0.2849758454;0
ERS_5;0.4875213675;0
ERS_6;0.2519561815;0
ERS_7;0.2901539069;0
ERS_8;0.3595818313;0
ERS_9;0.4663762863;0
Glasgow_0;0.4635708535;0
Glasgow_1;0.4979189287;0
Glasgow_2;0.5205621172;0
Glasgow_3;0.5622955496;0
Glasgow_4;0.4500403133;0
Glasgow_5;0.4663055308;0
Glasgow_6;0.4780897722;0
Glasgow_7;0.4886008618;0
Glasgow_8;0.5524232441;0
Glasgow_9;0.5739576915;0
AGH_0;0.5072298326;0
AGH_1;0.5910364146;0
Skiing_0;0.5913268213;0
Skiing_1;0.575739645;0
Web search_0;0.6395964211;0
Web search_1;0.5006632027;0
Web search_2;0.4525152129;0
Web search_3;0.5040439569;0
Web search_4;0.456441701;0
Web search_5;0.461944209;0
Web search_6;0.4252020763;0
Web search_7;0.4743427073;0
Web search_8;0.4858883651;0
Web search_9;0.4580882538;0
Tshirt;0.4339393939;0
Sushi_0;0.3160177778;0
Sushi_1;0.8090909091;0
Minneapolis_0;0.9884009651;0
Minneapolis_1;0.5592294518;0
Minneapolis_2;0.9936149862;0
Minneapolis_3;0.6043430899;0
MTurk Dots_0;0.1849056604;0
MTurk Dots_1;0.2493702771;0
MTurk Dots_2;0.3645833333;0
MTurk Dots_3;0.4160369437;0
MTurk Puzzle_0;0.2215216478;0
MTurk Puzzle_1;0.4176100629;0
MTurk Puzzle_2;0.3849056604;0
MTurk Puzzle_3;0.278126307;0
APA_0;0.2386903808;0
APA_1;0.1607819566;0
APA_2;0.2453579722;0
APA_3;0.2190776618;0
APA_4;0.4107317888;0
APA_5;0.2552392114;0
APA_6;0.263578047;0
APA_7;0.2192371227;0
APA_8;0.2399376572;0
APA_9;0.1972702932;0
